LastChange,Title,Developer,Reviews,Price,Discount,ProtonDB,Status,Publisher
"Jun 07, 2025",Yark Survivors,KoboldDev,85%,$1.99,,,Playable,N/A
"Jun 07, 2025",Zero End,Stolen Rose,86%,$4.99,,,Unsupported,N/A
"Jun 07, 2025",NYO-NIN-JIMA -My New Life in Charge of a Tropical Island-,PacoPaco Soft,89%,$11.99,-20%,,Playable,N/A
"Jun 07, 2025",Price of Power,The Pandaman,78%,$19.99,,,Playable,N/A
"Jun 07, 2025",Dragon Kings,AtomicDuck,,$4.99,,,Playable,N/A
"Jun 07, 2025",e-Racer,"Jordan Freeman Group, Rage Software",92%,$2.99,,,Unsupported,N/A
"Jun 07, 2025",exclusive memory,JBDX工作室,90%,$10.99,,,Playable,N/A
"Jun 07, 2025",Deluge: Sermon for the Dead,leaves,76%,Free,,,Playable,N/A
"Jun 07, 2025",Meowmunitions Prologue,Pete Karesisto,75%,Free,,,Playable,N/A
"Jun 07, 2025",Out of Sight VR,"Flat2VR Studios, The Gang",100%,$24.99,,,Unsupported,N/A
"Jun 07, 2025",DeviDevisurvivor,PAKOchan Factory,71%,$9.99,,,Playable,N/A
"Jun 07, 2025",Union of Gnomes: Prologue,Hoolignomes,82%,Free,,,Playable,N/A
"Jun 07, 2025",GTH 3033 - Grand Theft Hunter 3033,Hede,65%,$9.99,-95%,,Playable,N/A
"Jun 07, 2025",Dungeon Full Dive: Game Master Edition,TxK Gaming Studios,61%,$49.99,,,Playable,N/A
"Jun 07, 2025",Bit-cremental: Fishistry,Inner Realm Studios,78%,$2.99,,,Playable,N/A
"Jun 07, 2025",Japanese Rail Sim: Hakone Town of Natural Beauty and Hot Springs,"Sonic Powered Co.,Ltd.",83%,$49.99,,,Playable,N/A
"Jun 07, 2025",MALL MANAGER SIMULATOR,"KINETIC MOBILE GAMES, Krisztian Blaha",75%,$9.99,,,Playable,N/A
"Jun 07, 2025",Smithy Wars,Bigboot Studios,75%,$3.99,,,Playable,N/A
"Jun 07, 2025",Totally Spies! - Cyber Mission,Balio Studio,58%,$39.99,,,Playable,N/A
"Jun 07, 2025",Humpi and Hemicube,Sayantan,85%,Free,,,Playable,N/A
"Jun 07, 2025",Trash Goblin,Spilt Milk Studios Ltd,88%,$19.99,,,Playable,N/A
"Jun 07, 2025",Hockey Super Squad,RageCure Games,79%,Free,,,Unsupported,N/A
"Jun 07, 2025",The Seven Realms: High Lathión,SeptCloud Games,82%,$12.99,,,Playable,N/A
"Jun 07, 2025",Hellbreach: Vegas,Infinity Ape Studios,75%,$14.99,,,Playable,N/A
"Jun 07, 2025",ハーデリアクエスト,アニュラス-Annulus-,,Free,,,Verified,N/A
"Jun 07, 2025",Kudamono Party,Kyberquest,64%,Free,,,Playable,N/A
"Jun 07, 2025","Restore, Reflect, Retry",Choice of Games,,$4.99,,,Unsupported,N/A
"Jun 07, 2025",Story of Eve - A Hero's Study,SmallSqurriel,79%,$2.99,,,Playable,N/A
"Jun 07, 2025",Dead Season,Snail Bite,68%,$19.99,,,Playable,N/A
"Jun 07, 2025",Another Way of Gettin' Paid,PacoPaco Soft,82%,$15.99,-20%,,Playable,N/A
"Jun 07, 2025",Reimu Needs Help!? Aunn-chan to the Rescue!,ISY,97%,$6.99,,,Playable,N/A
"Jun 07, 2025",Pro Strategy Football 2025,Kerry Batts,76%,$24.99,,,Playable,N/A
"Jun 07, 2025",Fantasy Tavern Sextet -Vol.3 Postlude Days-,"iMel, qureate",91%,$12.99,,,Playable,N/A
"Jun 07, 2025",I wanna fuck my daughter’s besties,Fantasy Games Studio,75%,$7.99,,,Playable,N/A
"Jun 07, 2025",Traders and Tricksters,HFMA,,Free,,,Playable,N/A
"Jun 07, 2025",Heroes of Eternal Quest,Drakkar Game Studio,77%,$11.99,,,Playable,N/A
"Jun 07, 2025",后室：彼阳的晚意(序章)-Backrooms:Beyond one year(Prologue),Kwing works,,Free,,,Playable,N/A
"Jun 07, 2025",Magic Rune Stone,eFun Studio,78%,$7.99,-20%,,Unsupported,N/A
"Jun 07, 2025",Lost Eidolons: Veil of the Witch,"Ocean Drive Studio, Inc.",80%,$19.99,,,Playable,N/A
"Jun 07, 2025",The Court Of Wanderers,Lennart Bours,100%,$11.99,,,Playable,N/A
"Jun 07, 2025",Veggie Quest: The Puzzle Game,"Smart AI Games, SmartAI Games",94%,$19.99,,,Playable,N/A
"Jun 07, 2025",Arima Lodge,Praenaris,87%,Free,,,Playable,N/A
"Jun 07, 2025",A Crown of Thorns,"Crested Crate, Crested Crate Crew, Curse Box Alt, Curse Box Studios",72%,$6.99,,,Unsupported,N/A
"Jun 07, 2025",Love Bites,Winter Wolves,63%,$19.99,,,Playable,N/A
"Jun 07, 2025",Time Break,Casual Trash Studios,69%,,,,Playable,N/A
"Jun 07, 2025",Mansion Affairs,Lustful Fantasy,64%,$10.50,,,Playable,N/A
"Jun 07, 2025",BrokenLore: DON'T WATCH,Serafini Productions,84%,$8.99,,,Playable,N/A
"Jun 07, 2025",Tiny Battles,MyDreamForever,90%,$4.99,,,Playable,N/A
"Jun 07, 2025",Vietnam War,Thorium Game Lab,85%,$14.99,,,Playable,N/A
"Jun 07, 2025",Wild Island Quest,NLB project,53%,$2.99,,,Playable,N/A
"Jun 07, 2025",Hashihime of the Old Book Town,ADELTA,97%,$34.99,,,Playable,N/A
"Jun 07, 2025",Witchcraft U,Choice of Games,64%,$5.99,,,Playable,N/A
"Jun 07, 2025",Dragon Eclipse,"Fardust, Proto Team",67%,$12.99,,,Playable,N/A
"Jun 07, 2025",Esperia ~ Uprising of the Scarlet Witch ~,Prismalice,94%,$18.99,,,Playable,N/A
"Jun 07, 2025",The Price Of Flesh,Gatobob,96%,$14.99,,,Unsupported,N/A
"Jun 07, 2025",The Infected,DigX Studios,85%,$15.99,,,Playable,N/A
